openalex_id,title,community_id,is_a_inter,is_a_inter_top_paths,is_a_inter_institution_paths,bridge_freq_top,bridge_freq_institutions,bridge_freq_total,bridge_fraction_top,bridge_fraction_institutions,pagerank,authority,hub,approx_betweenness_path_subgraph,eigenvector_path_subgraph,harmonic_to_unicamp_sampled,harmonic_to_top_tier_sampled,bridge_proximity,is_unicamp,is_top_tier,is_important_institution
W1513904472,Post-quantum cryptography,14,True,False,True,0,7,7,0.0,9.80062724014337e-05,1.4543180850753463e-05,7.196034513954529e-08,6.91431251562567e-08,0.0,2.6369361728914984e-06,0.17461867559523797,0.24473586309523793,0.5762903545730097,False,False,True
W1514331370,Large-Scale Image Retrieval Based on Compressed Camera Identification,21,True,False,True,0,1,1,0.0,1.400089605734767e-05,7.116148158072929e-06,1.3042473867124127e-05,2.2068423783381487e-06,0.0,0.0001959029142064979,0.1985770089285713,0.2915364583333333,0.670746040569463,False,False,False
W1514406729,Image categorization: Graph edit direction histogram,13,True,True,True,1,1,2,2.6904864399483427e-05,1.400089605734767e-05,6.860468990773955e-06,2.501727488491591e-07,1.7375335075345455e-06,0.0,0.00016750726055784956,0.19400111607142853,0.28307291666666656,0.6532786612138456,False,False,False
W1514535095,"Show, Attend and Tell: Neural Image Caption Generation with Visual Attention",0,True,True,True,41,3,44,0.0011030994403788204,4.2002688172043014e-05,0.00020101988451894185,0.0027054696480223878,0.00014550036303476304,0.00022593296088045653,0.03542217492280784,0.2064639136904761,0.3670572916666669,0.7674254617259514,False,False,False
W1514907448,AUC: a statistically consistent and more discriminating measure than accuracy,4,True,False,True,0,1,1,0.0,1.400089605734767e-05,1.0621681797447166e-05,2.2068980440778104e-05,3.0435211093493736e-07,0.0,0.00037641671033129603,0.17730964781746023,0.28971354166666663,0.6318264165788894,False,False,False
W1514928307,Classification with Noisy Labels by Importance Reweighting,0,True,True,False,16,0,16,0.00043047783039173483,0.0,1.9485040393891408e-05,0.00023232991726778175,1.4626822221742197e-06,0.0,0.0024372148519358496,0.19300595238095228,0.32890625000000007,0.7023743013593273,False,False,False
W1515006239,A trace-based evaluation of adaptive error correction for a wireless local area network,2,True,False,True,0,2,2,0.0,2.800179211469534e-05,6.712107130954335e-06,3.2852153598417343e-08,9.281933820620605e-11,0.0,5.443013437790187e-07,0.14644435425685412,0.20359002976190466,0.4813508777753996,False,False,True
W1515106148,"Design, implementation and evaluation of congestion control for multipath TCP",2,True,True,False,1,0,1,2.6904864399483427e-05,0.0,8.617324761595757e-05,5.008925025702398e-06,4.793277555884626e-08,5.90201707335499e-06,8.740901664880049e-05,0.18722436417748906,0.2687499999999999,0.6253204289959213,False,False,False
W1515648064,Criteria for measures of quantum correlations,8,True,False,True,0,6,6,0.0,8.400537634408603e-05,7.1505480671793545e-06,1.0321749851269545e-08,1.0123216300005319e-08,0.0,3.269984960725675e-07,0.15591827876984118,0.21224888392857122,0.5071289717558884,False,False,True
W1517113043,Adaptive Fraud Detection,4,True,True,True,2,2,4,5.3809728798966854e-05,2.800179211469534e-05,7.250310737702479e-05,2.8882580251857866e-06,1.558476451727307e-07,5.311815366019491e-06,0.00010694903401047871,0.19286024305555546,0.3291666666666667,0.7023870214470345,False,False,False
W1517776255,Watermarking a 3D Shape Model Defined as a Point Set,9,True,True,False,3,0,3,8.071459319845028e-05,0.0,6.162361851594137e-06,0.0,6.818966267430257e-12,0.0,1.860549634803573e-09,0.1250491262210011,0.16473524305555548,0.4001112749228238,False,False,True
W1518306097,CONSTRAINTS AND APPROACHES FOR DISTRIBUTED SENSOR NETWORK SECURITY,14,True,True,False,1,0,1,2.6904864399483427e-05,0.0,0.00019144908237613445,1.846508742002111e-07,3.6898159567118385e-09,1.731561009059687e-06,6.15280282763489e-06,0.17802269345238078,0.2552827380952378,0.594286147163481,False,False,False
W1519268598,Face-based Active Authentication on mobile devices,17,True,False,True,0,6,6,0.0,8.400537634408603e-05,1.278286012734688e-05,2.5389618820661723e-05,6.2045927994721324e-06,0.0,0.0007897418996590772,0.19010416666666655,0.30703125000000003,0.6734948927828659,False,False,False
W1519669182,OMT-G: An Object-Oriented Data Model for Geographic Applications,1,True,False,True,0,9,9,0.0,0.00012600806451612903,1.5414667183225603e-05,1.229003914566267e-07,2.5983933583680982e-09,0.0,2.082916814289067e-06,0.14967137896825386,0.21426711309523788,0.4992227147297538,False,False,True
W1520777249,Preparing pure photon number states of the radiation field,8,True,False,True,0,1,1,0.0,1.400089605734767e-05,2.489559664053383e-05,6.011382577840274e-09,1.9890785913869e-11,0.0,1.191095496420489e-07,0.1422404852092351,0.19457775297619037,0.46377293775615797,False,False,True
W1521219253,Computing Geographical Scopes of Web Resources,1,True,False,True,0,1,1,0.0,1.400089605734767e-05,1.7245457430223384e-05,2.8596076998108206e-08,8.174611725026777e-09,0.0,2.378386924965113e-06,0.15904017857142838,0.24505208333333311,0.5503384107768148,False,False,False
W1522504723,Conceptual Data Modeling for Spatiotemporal Applications,1,True,True,True,22,14,36,0.0005919070167886354,0.0001960125448028674,8.54079653227327e-06,2.697160273537541e-08,2.3302606668236524e-10,0.0,5.383307331694045e-07,0.14916322826479061,0.22617187499999977,0.5120323315192739,False,False,False
W1523385540,Deep Canonical Correlation Analysis,0,True,True,False,9,0,9,0.00024214377959535084,0.0,3.54242565015962e-05,0.00047702575638220725,1.786778229916375e-05,5.3471856661667746e-06,0.006482964793661213,0.19214409722222212,0.3303385416666667,0.7023285866425037,False,False,False
